,date,id,text,like,n_rt,author,location,retweeted,user_mentions,hastags
0,2022-12-12 14:29:05+00:00,1602309570256404488,@netflix “Oh poor us ‘they’ are out to get us” say the pampered Prince &amp; Princess of SoCal like a pair of super-num… https://t.co/9Anuoc5zha,0,0,kingrickydarlin,"Blackheath, London, England",False,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]",[]
1,2022-12-12 14:21:28+00:00,1602307652477911040,RT @1rpotter: #Qanon #ConspiracyTheories rules the right wing with lies and misinformation and propaganda.  They are in a bubble that is ag…,0,1,beckyjo84403201,,False,"[{'screen_name': '1rpotter', 'name': 'Rosemary Potter', 'id': 74090988, 'id_str': '74090988', 'indices': [3, 12]}]","[{'text': 'Qanon', 'indices': [14, 20]}, {'text': 'ConspiracyTheories', 'indices': [21, 40]}]"
2,2022-12-12 14:18:51+00:00,1602306992453869569,"Here's a conspiracy theory for the #QAnon nutjobs:

The @GOP is supporting police shootings to keep privatized heal… https://t.co/nhGHFSzw8U",0,0,la_hwang,The 6ix,False,"[{'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [56, 60]}]","[{'text': 'QAnon', 'indices': [35, 41]}]"
3,2022-12-12 14:18:11+00:00,1602306827970035713,"Lake drowned in KoolAid
https://t.co/TaWFrxZn9x #karilake #trump #maga #koolaid #jonetown #qanon #zombie… https://t.co/sShUPkh5TS",0,0,DutchReach,"Cambridge, MA, USA",False,[],"[{'text': 'karilake', 'indices': [48, 57]}, {'text': 'trump', 'indices': [58, 64]}, {'text': 'maga', 'indices': [65, 70]}, {'text': 'koolaid', 'indices': [71, 79]}, {'text': 'jonetown', 'indices': [80, 89]}, {'text': 'qanon', 'indices': [90, 96]}, {'text': 'zombie', 'indices': [97, 104]}]"
4,2022-12-12 14:15:50+00:00,1602306234224443394,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,rettamarie62,"Ontario, Canada",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
5,2022-12-12 14:12:05+00:00,1602305290535174144,Am I doing it right? #QAnon #FollowTheWhiteRabbit,0,0,SeanSpammity,Actual spambot living in eternal fear of Hillary Clinton,False,[],"[{'text': 'QAnon', 'indices': [21, 27]}, {'text': 'FollowTheWhiteRabbit', 'indices': [28, 49]}]"
6,2022-12-12 13:55:59+00:00,1602301239173476352,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,EleanorTalbot5,"Calgary, Alberta",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
7,2022-12-12 13:55:01+00:00,1602300997640114176,"@TheRickWilson tried it  on ChatGPT it gave me: ""Mainstream media is controlled by the deep state. #QAnon is the on… https://t.co/FaqDPuBBCU",0,0,arpadg,Amsterdam & train stations,False,"[{'screen_name': 'TheRickWilson', 'name': 'Rick Wilson', 'id': 19084896, 'id_str': '19084896', 'indices': [0, 14]}]","[{'text': 'QAnon', 'indices': [99, 105]}]"
8,2022-12-12 13:50:10+00:00,1602299776707530752,#Qanon is not even a thing. https://t.co/YAc4BLs991,0,0,CheeksCowboy,The West,False,[],"[{'text': 'Qanon', 'indices': [0, 6]}]"
9,2022-12-12 13:46:47+00:00,1602298925448368128,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,WilliamLSeymour,"Fredericton, New Brunswick",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
10,2022-12-12 13:39:27+00:00,1602297079631577088,"One more time for all the #Qanon pushers out there:

There’s NO Qanon.

There is only Q, and there are Anons and ba… https://t.co/Tfi233dzmo",0,0,Unbendableone,These United States of America,False,[],"[{'text': 'Qanon', 'indices': [26, 32]}]"
11,2022-12-12 13:38:42+00:00,1602296892028866564,"Told you all about #jack and his shenanigan's

What is he actually doing in Ghana and what is his connection to thi… https://t.co/dTvGeuCUmp",0,0,ModelYendofICE,,False,[],"[{'text': 'jack', 'indices': [19, 24]}]"
12,2022-12-12 13:29:57+00:00,1602294688928927744,RT @OsintJobs: Happy Monday #OSINT friends! A  study by Johanna Wild illuminated how Germany's #QAnon followers have used online tools for…,0,4,KAS_stoner,,False,"[{'screen_name': 'OsintJobs', 'name': 'OSINT Jobs', 'id': 1278732367176310795, 'id_str': '1278732367176310795', 'indices': [3, 13]}]","[{'text': 'OSINT', 'indices': [28, 34]}, {'text': 'QAnon', 'indices': [95, 101]}]"
13,2022-12-12 13:25:23+00:00,1602293536963043328,#QAnon crazy BS https://t.co/fmdzoS9dXJ,0,0,NordicElk,Europe,False,[],"[{'text': 'QAnon', 'indices': [0, 6]}]"
14,2022-12-12 13:22:19+00:00,1602292766700363776,"My sister and I were together at all times. Never meandered off, always stuck together. It’s sad there’s a real hit… https://t.co/9HZDk1elKB",0,0,xenastuxnet,"Washington, DC",False,[],[]
15,2022-12-12 13:16:47+00:00,1602291374765887492,"😂🤣🤡#Media

#Germany arrests dozens as #QAnon-inspired ""Reichsbürger"" group accused of plotting to overthrow governm… https://t.co/cyTCzSUXvl",0,0,_aquariusmac,Latitude & longitude au Canada,False,[],"[{'text': 'Media', 'indices': [3, 9]}, {'text': 'Germany', 'indices': [11, 19]}, {'text': 'QAnon', 'indices': [38, 44]}]"
16,2022-12-12 13:13:20+00:00,1602290507958321152,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,annie_horton50,"Toronto, Ontario",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
17,2022-12-12 13:04:38+00:00,1602288316510273537,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,FretterJulie,Canada,False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
18,2022-12-12 13:03:48+00:00,1602288105989767168,Reality vs 🦇-💩 conspiracy theories and distraction politics. I choose reality. I've heard better lies from little k… https://t.co/4EVEuRXk2k,1,0,Loeb_0ttomi,"Toronto, Canada",False,[],[]
19,2022-12-12 13:02:33+00:00,1602287792897363968,"@RepMTG
@gop
@GOPLeader
@GOPChairwoman
@SenateGOP
@HouseGOP
#Trump
#MAGA
#qAnon

Proof that @gop members were deepl… https://t.co/F29xS4pkFj",0,0,ashman06,UK ,False,"[{'screen_name': 'RepMTG', 'name': 'Rep. Marjorie Taylor Greene🇺🇸', 'id': 1344356576786866176, 'id_str': '1344356576786866176', 'indices': [0, 7]}, {'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [8, 12]}, {'screen_name': 'GOPLeader', 'name': 'Kevin McCarthy', 'id': 19739126, 'id_str': '19739126', 'indices': [13, 23]}, {'screen_name': 'GOPChairwoman', 'name': 'Ronna McDaniel', 'id': 2353605901, 'id_str': '2353605901', 'indices': [24, 38]}, {'screen_name': 'SenateGOP', 'name': 'Senate Republicans', 'id': 14344823, 'id_str': '14344823', 'indices': [39, 49]}, {'screen_name': 'HouseGOP', 'name': 'House Republicans', 'id': 15207668, 'id_str': '15207668', 'indices': [50, 59]}, {'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [92, 96]}]","[{'text': 'Trump', 'indices': [60, 66]}, {'text': 'MAGA', 'indices': [67, 72]}, {'text': 'qAnon', 'indices': [73, 79]}]"
20,2022-12-12 12:58:10+00:00,1602286688922902528,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,town1012,"Ottawa, Ontario",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
21,2022-12-12 12:52:45+00:00,1602285326281605122,"@mikepompeo I think your #QAnon #Querdenker General Mike Flynn, Bannon, Stone, Jones,... are close to the ""Reichsbü… https://t.co/6WfgJdlnKD",0,0,BonJargon,,False,"[{'screen_name': 'mikepompeo', 'name': 'Mike Pompeo', 'id': 1163992520252153857, 'id_str': '1163992520252153857', 'indices': [0, 11]}]","[{'text': 'QAnon', 'indices': [25, 31]}, {'text': 'Querdenker', 'indices': [32, 43]}]"
22,2022-12-12 12:49:46+00:00,1602284577120206848,"@GOP You mean the brain-washed #MAGAs and #QAnon who only listen to #FoxNews? If they feel left behind, it's becaus… https://t.co/qzd6iAruvN",0,0,FeelUnusual,counter.social,False,"[{'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [0, 4]}]","[{'text': 'MAGAs', 'indices': [31, 37]}, {'text': 'QAnon', 'indices': [42, 48]}, {'text': 'FoxNews', 'indices': [68, 76]}]"
23,2022-12-12 12:38:02+00:00,1602281623952687106,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,bobatyork,"Pickering, Ontario",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
