,date,id,text,like,n_rt,author,location,retweeted,user_mentions,hastags
0,2022-12-12 14:49:10+00:00,1602314622777761793,🏆Is there a better way to describe the underworld’s media of @FoxNews @NewsmaxNow #qanon and the rest? https://t.co/iTXkSshBja,0,0,GarySanchez12,San Jose. CA,False,"[{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [61, 69]}, {'screen_name': 'NewsmaxNow', 'name': 'Newsmax Now', 'id': 3170117781, 'id_str': '3170117781', 'indices': [70, 81]}]","[{'text': 'qanon', 'indices': [82, 88]}]"
1,2022-12-12 14:48:22+00:00,1602314423473164288,"I don't hate NORMAL #Republicans, I hate that they let an insane bunch of #Qanon #RINO Trumper domestic terrorist neo-nazis take over their party. 🙄 @GOP @TheDemocrats @CNN @MSNBC @FoxNews 

#uspoli #canpoli #eupoli",0,0,Loeb_0ttomi,"Toronto, Canada",False,[],"[{'text': 'Republicans', 'indices': [20, 32]}, {'text': 'Qanon', 'indices': [74, 80]}, {'text': 'RINO', 'indices': [81, 86]}]"
2,2022-12-12 14:47:55+00:00,1602314311036174339,"Here's the deal you filthy #QuntRag @RepMTG 

Go ahead and arm yourself, you won't win!

This pisses me off!

She's a goddamn congresswoman and 

she's threatening America with her #QAnon bullshit!

#NeverForgetJanuary6th 
#NaziGreen 
#Fascism 
#MAGA lost! https://t.co/osCPCIgFD8",0,0,777Parsnips777,"Oregon, USA",False,"[{'screen_name': 'RepMTG', 'name': 'Rep. Marjorie Taylor Greene🇺🇸', 'id': 1344356576786866176, 'id_str': '1344356576786866176', 'indices': [36, 43]}]","[{'text': 'QuntRag', 'indices': [27, 35]}]"
3,2022-12-12 14:29:05+00:00,1602309570256404488,@netflix “Oh poor us ‘they’ are out to get us” say the pampered Prince &amp; Princess of SoCal like a pair of super-numerated #QAnon conspiracy theorists 🥱,0,0,kingrickydarlin,"Blackheath, London, England",False,"[{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [0, 8]}]",[]
4,2022-12-12 14:21:28+00:00,1602307652477911040,RT @1rpotter: #Qanon #ConspiracyTheories rules the right wing with lies and misinformation and propaganda.  They are in a bubble that is ag…,0,1,beckyjo84403201,,False,"[{'screen_name': '1rpotter', 'name': 'Rosemary Potter', 'id': 74090988, 'id_str': '74090988', 'indices': [3, 12]}]","[{'text': 'Qanon', 'indices': [14, 20]}, {'text': 'ConspiracyTheories', 'indices': [21, 40]}]"
5,2022-12-12 14:18:51+00:00,1602306992453869569,"Here's a conspiracy theory for the #QAnon nutjobs:

The @GOP is supporting police shootings to keep privatized healthcare/hospitals in business.

#ThinkAboutIt https://t.co/zBIdVRWQCa https://t.co/ddoP6lInS8",0,0,la_hwang,The 6ix,False,"[{'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [56, 60]}]","[{'text': 'QAnon', 'indices': [35, 41]}]"
6,2022-12-12 14:18:11+00:00,1602306827970035713,"Lake drowned in KoolAid
https://t.co/TaWFrxZn9x #karilake #trump #maga #koolaid #jonetown #qanon #zombie #truebeliever #cult #stopthesteal #stevebannon #kevinmccarthy #rudygiuliani #jeffreyclark #AZ #Scottsdale #Phoenix #foxnews #conspiracy #jan6 #SaveOurDemocracy #VoteBluein2022",0,0,DutchReach,"Cambridge, MA, USA",False,[],"[{'text': 'karilake', 'indices': [48, 57]}, {'text': 'trump', 'indices': [58, 64]}, {'text': 'maga', 'indices': [65, 70]}, {'text': 'koolaid', 'indices': [71, 79]}, {'text': 'jonetown', 'indices': [80, 89]}, {'text': 'qanon', 'indices': [90, 96]}, {'text': 'zombie', 'indices': [97, 104]}]"
7,2022-12-12 14:15:50+00:00,1602306234224443394,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,rettamarie62,"Ontario, Canada",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
8,2022-12-12 14:12:05+00:00,1602305290535174144,Am I doing it right? #QAnon #FollowTheWhiteRabbit,0,0,SeanSpammity,Actual spambot living in eternal fear of Hillary Clinton,False,[],"[{'text': 'QAnon', 'indices': [21, 27]}, {'text': 'FollowTheWhiteRabbit', 'indices': [28, 49]}]"
9,2022-12-12 13:55:59+00:00,1602301239173476352,RT @Garnet_2203: “Hey Hamilton #freedomfighters…👇👇👇#hamilton #dragshow #LGBTQ #ontario #QAnon #vaccine #canada @mini_bubbly https://t.co/KC…,0,14,EleanorTalbot5,"Calgary, Alberta",False,"[{'screen_name': 'Garnet_2203', 'name': 'Bev', 'id': 893479800, 'id_str': '893479800', 'indices': [3, 15]}, {'screen_name': 'mini_bubbly', 'name': '🐋🍁🌾🌻🍂Cheryl 🎋🌿🌾\U0001fab7', 'id': 2245822809, 'id_str': '2245822809', 'indices': [111, 123]}]","[{'text': 'freedomfighters', 'indices': [31, 47]}, {'text': 'hamilton', 'indices': [51, 60]}, {'text': 'dragshow', 'indices': [61, 70]}, {'text': 'LGBTQ', 'indices': [71, 77]}, {'text': 'ontario', 'indices': [78, 86]}, {'text': 'QAnon', 'indices': [87, 93]}, {'text': 'vaccine', 'indices': [94, 102]}, {'text': 'canada', 'indices': [103, 110]}]"
10,2022-12-12 13:55:01+00:00,1602300997640114176,"@TheRickWilson tried it  on ChatGPT it gave me: ""Mainstream media is controlled by the deep state. #QAnon is the only one telling the truth about the #GreatAwakening. Liberals are trying to censor us, but we won't be silenced. #MAGA #IncelRevolution""",0,0,arpadg,Amsterdam & train stations,False,"[{'screen_name': 'TheRickWilson', 'name': 'Rick Wilson', 'id': 19084896, 'id_str': '19084896', 'indices': [0, 14]}]","[{'text': 'QAnon', 'indices': [99, 105]}]"
11,2022-12-12 13:50:10+00:00,1602299776707530752,#Qanon is not even a thing. https://t.co/YAc4BLs991,0,0,CheeksCowboy,The West,False,[],"[{'text': 'Qanon', 'indices': [0, 6]}]"
